[TOUCHLOG] t=23812ms line line_after=low raw=[06, 0c, 0f, bd, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23840ms line line_after=low raw=[06, 0c, 0f, dd, 80, 01, ab, 80, 00, 00, 3c, 07, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23916ms poll line_after=high raw=[10, 05, 07, 64, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=23967ms poll line_after=high raw=[ab, 05, 07, 64, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=24186ms line line_after=low raw=[06, 0a, 0f, 8e, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCH] cover accepted, recalibrating
[TOUCHLOG] t=24236ms line line_after=low raw=[06, 0a, 0f, b8, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=24286ms line line_after=low raw=[06, 0a, 0f, e7, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=24373ms line line_after=high raw=[06, 0b, 0f, 18, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=24378ms line line_after=high raw=[ab, 0b, 0f, 18, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=24455ms line line_after=low raw=[06, 0b, 0f, 4a, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCH] cover accepted, recalibrating
[TOUCHLOG] t=24506ms line line_after=low raw=[06, 0b, 0f, 5b, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=24556ms line line_after=low raw=[06, 0b, 0f, 5b, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=24635ms line line_after=low raw=[06, 0b, 0f, 6b, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=24686ms line line_after=low raw=[06, 0b, 0f, 7b, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=24735ms line line_after=low raw=[06, 0b, 0f, 8b, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=24824ms poll line_after=high raw=[06, 0b, 0f, fe, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=24875ms line line_after=low raw=[06, 0b, 10, 93, 80, 01, ab, 80, 00, 00, 3c, 06, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=24930ms poll line_after=high raw=[00, 0b, 1b, 20, 80, 02, ab, 10, 04, 08, 68, 04, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=27769ms line line_after=low raw=[06, 06, 08, 6b, 00, 01, ab, 00, 00, 00, 3c, 04, ab, 80, 00] parsed=Points([TouchPoint { x: 363, y: 326 }])
[TOUCHLOG] t=27797ms poll line_after=high raw=[06, 09, 0e, 75, 80, 02, ab, 10, 19, 0f, 98, 00, ab, 80, 00] parsed=CoverGesture
[TOUCH] cover accepted, recalibrating
[TOUCHLOG] t=27822ms line line_after=low raw=[06, 0a, 0e, 2e, 80, 01, ab, 80, 00, 00, 3c, 00, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=27862ms line line_after=low raw=[06, 0b, 0f, 75, 80, 01, ab, 80, 00, 00, 3c, 00, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=27914ms poll line_after=high raw=[06, 0b, 0f, e9, 80, 01, ab, 80, 00, 00, 3c, 00, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=27930ms line line_after=low raw=[06, 0b, 0f, e9, 80, 01, ab, 80, 00, 00, 3c, 00, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=27952ms line line_after=low raw=[06, 0b, 0f, e9, 80, 01, ab, 80, 00, 00, 3c, 00, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=28015ms line line_after=high raw=[06, 0c, 0f, 1c, 80, 01, ab, 80, 00, 00, 3c, 00, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=28020ms line line_after=low raw=[ab, 0c, 0f, 1c, 80, 01, ab, 80, 00, 00, 3c, 00, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=28043ms line line_after=high raw=[06, 0c, 0f, 2c, 80, 01, ab, 80, 00, 00, 3c, 00, ab, 80, 00] parsed=CoverGesture
[TOUCH] cover accepted, recalibrating
[TOUCHLOG] t=28070ms line line_after=low raw=[06, 0c, 0f, 2d, 80, 01, ab, 80, 00, 00, 3c, 00, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=28114ms line line_after=high raw=[06, 0c, 0f, 3d, 80, 01, ab, 80, 00, 00, 3c, 00, ab, 80, 00] parsed=CoverGesture
